사무명,질문
공탁신청(공탁물지급청구 포함),"1. 채무 변제를 위한 금전공탁을 신청하려고 하는데, 필요한 구비서류로 인감증명서와 신분증 외에 어떤 서류가 더 필요한가요?"
공탁신청(공탁물지급청구 포함),"2. 공탁금 지급청구를 하려면 어떤 절차를 따라야 하며, 필요한 신청서는 무엇인지 알고 싶습니다."
공탁신청(공탁물지급청구 포함),"3. 공탁소에 방문하여 공탁신청을 하려는데, 공탁의 종류에 따라 제출해야 하는 서류가 다르다고 하던데, 구체적으로 어떤 서류가 필요한지 문의하고 싶습니다."
공탁신청(공탁물지급청구 포함),"4. 공탁신청을 위해 금전공탁서를 작성해야 하는데, 이 서식은 어디서 받을 수 있는지 알려주실 수 있나요?"
공탁신청(공탁물지급청구 포함),"5. 공탁금 지급청구를 하려면 대법원 사법등기국에 직접 방문해야 하는지, 아니면 인터넷으로도 신청이 가능한지 궁금합니다."
친양자입양취소신고,"1. 친양자 입양을 취소하려고 하는데, 가정법원의 허가를 받기 위해 필요한 서류는 어떤 것들이 있나요?"
친양자입양취소신고,"2. 친양자입양취소신고를 위해 가족관계등록부의 기본증명서와 친양자입양관계증명서를 제출해야 하는데, 이 서류를 어디서 발급받을 수 있나요?"
친양자입양취소신고,"3. 친양자 입양취소재판의 등본과 확정증명서를 준비해야 하는데, 이 서류를 발급받기 위한 절차는 어떻게 되나요?"
친양자입양취소신고,"4. 친양자입양취소신고를 우편으로 제출할 경우, 신고인의 신분증명서 사본은 어떻게 첨부해야 하나요?"
친양자입양취소신고,"5. 친양자입양취소신고를 위해 대법원의 가족관계등록과에 방문할 때, 어떤 신분증명서를 지참해야 하나요?"
친양자파양신고,"1. 가정법원에서 친양자입양 파양 허가를 받은 후, 가족관계등록과에 신고하려고 하는데, 필요한 구비서류는 무엇인지 알고 싶습니다."
친양자파양신고,"2. 친양자 파양재판의 확정증명서를 제출해야 하는데, 이 문서를 어떻게 발급받을 수 있는지 궁금합니다."
친양자파양신고,"3. 친양자파양신고를 우편으로 제출할 경우, 신고인의 신분증명서 사본 외에 어떤 서류를 추가로 첨부해야 하는지 알고 싶습니다."
친양자파양신고,"4. 친양자입양을 파양하기 위해 가정법원의 허가를 받은 후, 신고는 언제까지 해야 하는지 정확한 기한이 궁금합니다."
친양자파양신고,"5. 친양자파양신고를 위해 가족관계등록부의 기본증명서와 친양자입양관계증명서를 제출해야 하는데, 이 두 서류는 어디에서 발급받을 수 있는지 알고 싶습니다."
성·본계속사용신고,"1. 혼인외 자를 인지하기 위해 성·본계속사용신고를 하려는데, 가족관계등록부의 가족관계증명서를 어떻게 준비해야 하나요?"
성·본계속사용신고,"2. 성·본계속사용신고를 위해 법원 재판서 등본을 제출해야 하는데, 이 서류는 어디에서 발급받을 수 있나요?"
성·본계속사용신고,3. 부모가 협의한 경우에 성·본계속사용신고를 하려면 어떤 추가 구비서류가 필요한지 궁금합니다.
성·본계속사용신고,4. 성·본계속사용신고를 우편으로 제출할 경우 신고인의 신분증명서 사본은 어떻게 준비해야 하나요?
성·본계속사용신고,"5. 성·본계속사용신고를 위해 필요한 서류를 모두 갖추었는데, 접수는 시·구·읍·면 어디에서 할 수 있나요?"
성·본변경신고,"1. 가정법원에서 자녀의 성·본 변경 허가를 받았는데, 성·본변경신고를 위해 제출해야 하는 서류는 무엇인가요?"
성·본변경신고,2. 성·본변경신고를 하려면 가정법원의 허가재판 등본 외에 어떤 서류를 준비해야 하는지 궁금합니다.
성·본변경신고,"3. 성·본변경신고를 우편으로 제출할 때, 신고인의 신분증명서 사본은 어떻게 첨부해야 하나요?"
성·본변경신고,"4. 자녀의 성·본변경신고를 위해 가족관계등록과에 방문할 경우, 어떤 절차를 따라야 하는지 알고 싶습니다."
성·본변경신고,"5. 성·본변경신고를 하려면 수수료가 없다고 들었는데, 이와 관련하여 추가 비용이 발생할 가능성이 있는지 궁금합니다."
가족관계등록부등의 증명서 발급,"1. 가족관계증명서를 발급받으려고 하는데, 대법원 전자가족관계등록시스템에서 어떤 절차를 따라야 하나요?"
가족관계등록부등의 증명서 발급,2. 혼인관계증명서를 발급받으려면 본인 신분증 외에 추가로 필요한 서류가 있는지 궁금합니다.
가족관계등록부등의 증명서 발급,"3. 기본증명서를 인터넷으로 발급받을 경우 수수료가 무료라고 들었는데, 이 경우에도 신분증을 반드시 지참해야 하나요?"
가족관계등록부등의 증명서 발급,"4. 입양관계증명서를 발급받기 위해 대리인이 신청할 수 있는지, 그리고 필요한 서류는 무엇인지 알고 싶습니다."
